t,x,y
0.000000000000000000e+00,7.120000000000000000e+02,6.130000000000000000e+02
2.000000000000000042e-02,7.127337646484375000e+02,6.104829101562500000e+02
4.000000000000000083e-02,7.099875488281250000e+02,6.066539916992187500e+02
5.999999999999999778e-02,7.107363891601562500e+02,6.043204345703125000e+02
8.000000000000000167e-02,7.067723388671875000e+02,6.016187133789062500e+02
1.000000000000000056e-01,7.074736328125000000e+02,5.992199707031250000e+02
1.199999999999999956e-01,7.042637329101562500e+02,5.967475585937500000e+02
1.400000000000000133e-01,7.047399902343750000e+02,5.944995117187500000e+02
1.600000000000000033e-01,6.961674804687500000e+02,6.102340698242187500e+02
1.799999999999999933e-01,6.966594238281250000e+02,6.079840698242187500e+02
2.000000000000000111e-01,6.540449829101562500e+02,5.644560546875000000e+02
2.200000000000000011e-01,6.541368408203125000e+02,5.625454711914062500e+02
2.399999999999999911e-01,6.480129394531250000e+02,5.388436279296875000e+02
2.600000000000000089e-01,6.479780273437500000e+02,5.370021362304687500e+02
2.800000000000000266e-01,6.415960083007812500e+02,5.325568847656250000e+02
2.999999999999999889e-01,6.413551635742187500e+02,5.308126220703125000e+02
3.200000000000000067e-01,6.356670532226562500e+02,4.677169494628906250e+02
3.400000000000000244e-01,6.368217163085937500e+02,4.646457519531250000e+02
3.599999999999999867e-01,6.100103149414062500e+02,5.598115844726562500e+02
3.800000000000000044e-01,6.095103759765625000e+02,5.585688476562500000e+02
4.000000000000000222e-01,6.102720947265625000e+02,5.590750732421875000e+02
4.199999999999999845e-01,6.100297241210937500e+02,5.576140136718750000e+02
4.400000000000000022e-01,6.100641479492187500e+02,5.566607666015625000e+02
4.600000000000000200e-01,6.095581054687500000e+02,5.554246215820312500e+02
4.799999999999999822e-01,6.107375488281250000e+02,5.565121459960937500e+02
5.000000000000000000e-01,6.096671752929687500e+02,5.553076171875000000e+02
5.200000000000000178e-01,6.083377685546875000e+02,5.521784057617187500e+02
5.400000000000000355e-01,6.080517578125000000e+02,5.509292602539062500e+02
5.600000000000000533e-01,6.066672973632812500e+02,5.500223999023437500e+02
5.799999999999999600e-01,6.058800659179687500e+02,5.488961791992187500e+02
5.999999999999999778e-01,6.049762573242187500e+02,5.488103637695312500e+02
6.199999999999999956e-01,6.047021484375000000e+02,5.478132934570312500e+02
6.400000000000000133e-01,6.025196533203125000e+02,5.470640869140625000e+02
6.600000000000000311e-01,6.027640991210937500e+02,5.461604003906250000e+02
6.800000000000000488e-01,6.011101074218750000e+02,5.465404052734375000e+02
6.999999999999999556e-01,6.011055908203125000e+02,5.455413818359375000e+02
7.199999999999999734e-01,5.996450805664062500e+02,5.461118774414062500e+02
7.399999999999999911e-01,5.997463378906250000e+02,5.453607788085937500e+02
7.600000000000000089e-01,5.978672485351562500e+02,5.448852539062500000e+02
7.800000000000000266e-01,5.979284667968750000e+02,5.441450195312500000e+02
8.000000000000000444e-01,5.970705566406250000e+02,5.452949829101562500e+02
8.199999999999999512e-01,5.969617309570312500e+02,5.444702148437500000e+02
8.399999999999999689e-01,5.954798583984375000e+02,5.433288574218750000e+02
8.599999999999999867e-01,5.957190551757812500e+02,5.425830688476562500e+02
8.800000000000000044e-01,4.840413818359375000e+02,5.416845703125000000e+02
9.000000000000000222e-01,4.844785766601562500e+02,5.410942993164062500e+02
9.200000000000000400e-01,4.883702087402343750e+02,5.384244384765625000e+02
9.399999999999999467e-01,4.891504516601562500e+02,5.373936157226562500e+02
9.599999999999999645e-01,3.167574157714843750e+02,5.968699340820312500e+02
